,Country_0,Country_1,Country_2,Country_3,Country_4,Country_5,Country_6,Country_7,Country_8,Year,Status_0,Status_1,LifeExpectancy,AdultMortality,Alcohol,HealthExpendGDP,HepatitisBImmunCover,MeaslesCases,BMI,Under-FiveDeaths,PolioImmunCover,HealthExpendTotalExpend,DiphtheriaImmunCover,HIV/AIDSDeath,GDP,Population,Thinness10-19,Thinness5-9,HDIIncomeCompo,SchoolingYears,Thinness5-19,HepatitisBImmunCover^2,PolioImmunCover^2,DiphtheriaImmunCover^2
0,0,0,0,0,0,0,0,0,1,2015,0,1,65.0,5.575949103146316,0.01,4.280542258460885,65.0,7.051855622955894,19.1,4.430816798843313,6.0,2.214846178686039,65.0,0.09531017980432487,6.372054843111784,17.33409074705403,2.9014215940827497,2.9069010598473755,0.479,2.4069451083182885,3.56953269648137,4225.0,36.0,4225.0
1,0,0,0,0,0,0,0,0,1,2014,0,1,59.9,5.605802066295998,0.01,4.311115607917084,62.0,6.20050917404269,18.6,4.465908118654584,58.0,2.217027204632399,62.0,0.09531017980432487,6.419500529079097,12.699496737062693,2.917770732084279,2.917770732084279,0.47600000000000003,2.3978952727983707,3.58351893845611,3844.0,3364.0,3844.0
2,0,0,0,0,0,0,0,0,1,2013,0,1,59.9,5.594711379601839,0.01,4.307023452400663,64.0,6.066108090103747,18.1,4.499809670330265,62.0,2.211565694606877,64.0,0.09531017980432487,6.450067459449026,17.272826392524035,2.928523523860541,2.928523523860541,0.47,2.388762789235098,3.594568774642695,4096.0,3844.0,4096.0
3,0,0,0,0,0,0,0,0,1,2012,0,1,59.5,5.60947179518496,0.01,4.371776977189467,67.0,7.933079771880415,17.6,4.543294782270004,67.0,2.253394848803274,67.0,0.09531017980432487,6.508708032273233,15.123021147784241,2.9391619220655967,2.9444389791664403,0.46299999999999997,2.379546134130174,3.6082115510464816,4489.0,4489.0,4489.0
4,0,0,0,0,0,0,0,0,1,2011,0,1,59.2,5.62040086571715,0.01,2.091507047709576,68.0,8.01102337918644,17.2,4.584967478670572,68.0,2.1826747963214883,68.0,0.09531017980432487,4.167242282077771,14.906963949433905,2.954910279033736,2.954910279033736,0.45399999999999996,2.3513752571634776,3.6216707044204863,4624.0,4624.0,4624.0
5,0,0,0,0,0,0,0,0,1,2010,0,1,58.8,5.634789603169249,0.01,4.39048287170673,66.0,7.595889917718538,16.7,4.634728988229636,66.0,2.322387720290225,66.0,0.09531017980432487,6.317758265057453,14.87440024755543,2.9652730660692823,2.9652730660692823,0.44799999999999995,2.322387720290225,3.632309102625542,4356.0,4356.0,4356.0
6,0,0,0,0,0,0,0,0,1,2009,0,1,58.6,5.641907070938114,0.01,4.056334873695729,63.0,7.959275960116396,16.2,4.672828834461906,63.0,2.343727036325221,63.0,0.09531017980432487,6.1023198589596435,12.557897848462941,2.975529566236472,2.9806186357439426,0.434,2.2925347571405443,3.6454498961866,3969.0,3969.0,3969.0
7,0,0,0,0,0,0,0,0,1,2008,0,1,58.1,5.662960480135946,0.03,3.2911564990436903,64.0,7.3777589082278725,15.7,4.709530201312334,64.0,2.2332350148592526,64.0,0.09531017980432487,5.925220883173701,14.819604086905889,2.9856819377004897,2.990719731730447,0.433,2.272125885509337,3.655839600035736,4096.0,4096.0,4096.0
8,0,0,0,0,0,0,0,0,1,2007,0,1,57.5,5.69035945432406,0.02,2.4773914798389645,63.0,7.040536390215956,15.2,4.736198448394496,63.0,2.0451088625993306,63.0,0.09531017980432487,5.9157593662491115,17.09705289034542,2.995732273553991,3.0007198150650303,0.415,2.2407096892759584,3.66612246699132,3969.0,3969.0,3969.0
9,0,0,0,0,0,0,0,0,1,2006,0,1,57.3,5.69035945432406,0.03,2.89985539625697,64.0,7.596392304064196,14.7,4.762173934797756,58.0,2.131796772013764,58.0,0.09531017980432487,5.611534757389504,14.76691589213728,3.005682604407159,3.0106208860477417,0.405,2.2082744135228043,3.676300671907076,4096.0,3364.0,3364.0
